Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA العفو شكرا مايحتاج اللع يعز الحكومة والانظمه والقوانين الي تردع امثالكم بالنصب والاحتيال وتم رفع بلاغ وسيتم اتخاذ الاجراءت المناسبه لامثالكم https://t.co/QydiYkQ1PX,https://twitter.com/rnona1234/status/1693168151951786057
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@ZARA 1 Order no :  52932524247
 
2 Order no :  52932493279

3 Order no :  52932644473",https://twitter.com/Cares_World/status/1693067925215719563
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@ZARA Zara you people have been telling me to wait for review of my orders which I was told it’s will last for 24 to 48 business hours but its more than 200 business hours now, Zara refused to ship orders or cancel the orders Zara also denied me the option of cancel the orders myself",https://twitter.com/Cares_World/status/1693067568477569065
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@markesousa Hola, sentimos las molestias. Por favor, envíe un MD a nuestra cuenta de atención al cliente @ZARA_Care confirmando si es una compra online o en tienda para poder revisarlo. Muchas Gracias.",https://twitter.com/ZARA/status/1692934691018428548
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA Desastre la atención al cliente. No cambian una prenda por talle a los 31 días de la compra.,https://twitter.com/markesousa/status/1692928962198937904
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA Fala Anglais? 🫠I don’t see two pictures.,https://twitter.com/minksinmiami/status/1692669692119290327
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA https://t.co/Zi02c4IdF7,https://twitter.com/minksinmiami/status/1692663594972832080
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA Denim 🥱,https://twitter.com/minksinmiami/status/1692662466948329920
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA Greedy Zara rips off British Red Cross! TKMAx buyers would laugh in your face at the deals u offer Red Cross! New but last season stuff going for half original price! Rip off cos cheaper than that in Zara store.,https://twitter.com/deannahilluk/status/1692653046419865857
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ExtonMayasa Hello. Please note that we have replied to your DM. Thank you.,https://twitter.com/ZARA/status/1692611541894402459
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA Still not able to return the damaged item. Zara being an international brand should service its North American customer centrally. The customer care is asking me to travel from California to Canada to return the item in store.,https://twitter.com/AzerButt/status/1692606157490184690
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@AzerButt Hello, we wish to inform you that we have replied to your DM. Thank you.",https://twitter.com/ZARA/status/1692559624363229306
